#SampleID	plots	microcosms	Field	Soil_depth	Period_numeric	Period	Plate	Condition	Soil_pH_Value	cul_type	quant_reading	Sample_or_Control	field_coord	coll_coord	cords_note	soil_compname	soil_taxclass	soil_taxorder	soil_taxsuborder	soil_taxgrtgroup	soil_taxsubgrp	Meloidogyne_hapla	Meloidogyne_chitwoodi	Pratylenchus_penetrans	Pratylenchus_neglectus	Pratylenchus_thornei	Paratrichodorus_sp	Tylenchorhynchus_sp	Paratylenchus_sp	Helicotylenchus_sp	Mesocriconema sp	Ditylenchus_sp	Xiphinema_sp	Hemicycliophora_sp	vert_count	bd_count	y1998	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	y2008	y2009	y2010	y2011	y2012	y2013	y2014	y2015	y2016	y2017	y2018
FL-1-1	B750_1	Boardman750_1_12	Boardman750	30cm	6	6wk	Plate_20	treatment	7.425	Conventional	57.8	True_Sample	45.77219,-119.76143	45.784883,-119.763844	error	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FA-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	0	0wk	Plate_1	treatment	7.19	Conventional	119.6	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FB-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	0	0wk	Plate_2	treatment	6.995	Conventional	116.8	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FC-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	0	0wk	Plate_3	treatment	7.1	Conventional	103.4	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FD-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	1	1wk	Plate_7	treatment	6.83	Conventional	103.2	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FE-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	1	1wk	Plate_8	treatment	6.995	Conventional	91.6	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FF-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	1	1wk	Plate_9	treatment	6.865	Conventional	87.4	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FG-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	3	3wk	Plate_12	treatment	6.95	Conventional	55.1	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FH-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	3	3wk	Plate_13	treatment	6.75	Conventional	48.2	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FI-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	3	3wk	Plate_14	treatment	6.85	Conventional	51.1	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FJ-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	6	6wk	Plate_18	treatment	6.695	Conventional	42.4	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FK-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	6	6wk	Plate_19	treatment	6.705	Conventional	52	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FL-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	6	6wk	Plate_20	treatment	7.03	Conventional	53.8	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FA-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	0	0wk	Plate_1	treatment	7.39	Conventional	114.5	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FB-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	0	0wk	Plate_2	treatment	7.215	Conventional	107.2	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FC-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	0	0wk	Plate_3	treatment	7.215	Conventional	84.6	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FD-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	1	1wk	Plate_7	treatment	6.995	Conventional	124.3	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FE-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	1	1wk	Plate_8	treatment	7.19	Conventional	77.5	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FF-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	1	1wk	Plate_9	treatment	7.21	Conventional	90.2	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FG-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	3	3wk	Plate_12	treatment	7.3	Conventional	56.5	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FH-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	3	3wk	Plate_13	treatment	7.15	Conventional	46.9	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FI-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	3	3wk	Plate_14	treatment	7.4	Conventional	48.2	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FJ-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	6	6wk	Plate_18	treatment	6.905	Conventional	56.1	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FK-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	6	6wk	Plate_19	treatment	6.81	Conventional	62.2	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FL-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	6	6wk	Plate_20	treatment	7.03	Conventional	64.4	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FA-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	0	0wk	Plate_1	treatment	7.23	Conventional	105.6	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FB-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	0	0wk	Plate_2	treatment	7.19	Conventional	103.7	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FC-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	0	0wk	Plate_3	treatment	7.23	Conventional	92	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FD-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	1	1wk	Plate_7	treatment	6.945	Conventional	92.2	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FE-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	1	1wk	Plate_8	treatment	6.95	Conventional	81.2	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FF-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	1	1wk	Plate_9	treatment	6.99	Conventional	87.7	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FG-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	3	3wk	Plate_12	treatment	6.7	Conventional	47.7	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FH-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	3	3wk	Plate_13	treatment	6.85	Conventional	42.6	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FI-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	3	3wk	Plate_14	treatment	6.9	Conventional	50.7	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FJ-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	6	6wk	Plate_18	treatment	6.515	Conventional	51.7	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FK-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	6	6wk	Plate_19	treatment	6.555	Conventional	56.9	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FL-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	6	6wk	Plate_20	treatment	6.35	Conventional	57.5	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
FA-1-5	B108_1	Boardman108_1_4	Boardman108	10cm	0	0wk	Plate_1	treatment	7.67	Conventional	117.8	True_Sample	45.75116,-119.95008	45.752433,-119.953708		Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
FB-1-5	B108_1	Boardman108_1_8	Boardman108	20cm	0	0wk	Plate_2	treatment	7.33	Conventional	75.5	True_Sample	45.75116,-119.95008	45.752433,-119.953708		Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
