#SampleID	plots	microcosms	Field	Soil_depth	Period	Period_numeric	Plate	Condition	Soil_pH_Value	cul_type	quant_reading	Sample_or_Control	field_coord	coll_coord	cords_note	soil_compname	soil_taxclass	soil_taxorder	soil_taxsuborder	soil_taxgrtgroup	soil_taxsubgrp	Meloidogyne_hapla	Meloidogyne_chitwoodi	Pratylenchus_penetrans	Pratylenchus_neglectus	Pratylenchus_thornei	Paratrichodorus_sp	Tylenchorhynchus_sp	Paratylenchus_sp	Helicotylenchus_sp	Mesocriconema sp	Ditylenchus_sp	Xiphinema_sp	Hemicycliophora_sp	vert_count	bd_count	y1998	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	y2008	y2009	y2010	y2011	y2012	y2013	y2014	y2015	y2016	y2017	y2018
BK-1-1	B750_1	Boardman750_1_8	Boardman750	20cm	6wk	6	Plate_19	treatment	7.375	Conventional	360.61	True_Sample	45.77219,-119.76143	45.784883,-119.763844	error	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BL-1-1	B750_1	Boardman750_1_12	Boardman750	30cm	6wk	6	Plate_20	treatment	7.425	Conventional	380	True_Sample	45.77219,-119.76143	45.784883,-119.763844	error	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BA-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	0wk	0	Plate_1	treatment	7.19	Conventional	632.73	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BB-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	0wk	0	Plate_2	treatment	6.995	Conventional	631.52	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BC-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	0wk	0	Plate_3	treatment	7.1	Conventional	471.52	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BD-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	1wk	1	Plate_7	treatment	6.83	Conventional	638.79	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BE-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	1wk	1	Plate_8	treatment	6.995	Conventional	588.48	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BF-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	1wk	1	Plate_9	treatment	6.865	Conventional	504.85	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BG-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	3wk	3	Plate_12	treatment	6.95	Conventional	425.45	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BH-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	3wk	3	Plate_13	treatment	6.75	Conventional	351.52	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BI-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	3wk	3	Plate_14	treatment	6.85	Conventional	277.58	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BJ-1-2	B750_2	Boardman750_2_4	Boardman750	10cm	6wk	6	Plate_18	treatment	6.695	Conventional	299.39	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BK-1-2	B750_2	Boardman750_2_8	Boardman750	20cm	6wk	6	Plate_19	treatment	6.705	Conventional	358.18	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BL-1-2	B750_2	Boardman750_2_12	Boardman750	30cm	6wk	6	Plate_20	treatment	7.03	Conventional	349.7	True_Sample	45.77219,-119.76143	45.773372,-119.763889		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BA-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	0wk	0	Plate_1	treatment	7.39	Conventional	558.18	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BB-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	0wk	0	Plate_2	treatment	7.215	Conventional	561.21	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BC-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	0wk	0	Plate_3	treatment	7.215	Conventional	500.61	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BD-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	1wk	1	Plate_7	treatment	6.995	Conventional	566.67	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BE-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	1wk	1	Plate_8	treatment	7.19	Conventional	644.24	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BF-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	1wk	1	Plate_9	treatment	7.21	Conventional	544.24	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BG-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	3wk	3	Plate_12	treatment	7.3	Conventional	332.12	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BH-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	3wk	3	Plate_13	treatment	7.15	Conventional	329.7	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BI-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	3wk	3	Plate_14	treatment	7.4	Conventional	266.06	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BJ-1-3	B750_3	Boardman750_3_4	Boardman750	10cm	6wk	6	Plate_18	treatment	6.905	Conventional	294.55	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BK-1-3	B750_3	Boardman750_3_8	Boardman750	20cm	6wk	6	Plate_19	treatment	6.81	Conventional	347.88	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BL-1-3	B750_3	Boardman750_3_12	Boardman750	30cm	6wk	6	Plate_20	treatment	7.03	Conventional	338.18	True_Sample	45.77219,-119.76143	45.773483,-119.759289		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BA-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	0wk	0	Plate_1	treatment	7.23	Conventional	540.61	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BB-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	0wk	0	Plate_2	treatment	7.19	Conventional	571.52	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BC-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	0wk	0	Plate_3	treatment	7.23	Conventional	483.03	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BD-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	1wk	1	Plate_7	treatment	6.945	Conventional	498.18	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BE-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	1wk	1	Plate_8	treatment	6.95	Conventional	561.21	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BF-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	1wk	1	Plate_9	treatment	6.99	Conventional	512.73	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BG-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	3wk	3	Plate_12	treatment	6.7	Conventional	272.12	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BH-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	3wk	3	Plate_13	treatment	6.85	Conventional	288.48	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BI-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	3wk	3	Plate_14	treatment	6.9	Conventional	320	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BJ-1-4	B750_4	Boardman750_4_4	Boardman750	10cm	6wk	6	Plate_18	treatment	6.515	Conventional	300.61	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BK-1-4	B750_4	Boardman750_4_8	Boardman750	20cm	6wk	6	Plate_19	treatment	6.555	Conventional	364.85	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BL-1-4	B750_4	Boardman750_4_12	Boardman750	30cm	6wk	6	Plate_20	treatment	6.35	Conventional	363.03	True_Sample	45.77219,-119.76143	45.770672,-119.759714		Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
BA-1-5	B108_1	Boardman108_1_4	Boardman108	10cm	0wk	0	Plate_1	treatment	7.67	Conventional	576.97	True_Sample	45.75116,-119.95008	45.752433,-119.953708		Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
BB-1-5	B108_1	Boardman108_1_8	Boardman108	20cm	0wk	0	Plate_2	treatment	7.33	Conventional	548.48	True_Sample	45.75116,-119.95008	45.752433,-119.953708		Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
